num_robots,n_seeds,completion_rate_mean,completion_rate_sd,throughput_tps_mean,throughput_tps_sd,avg_latency_s_mean,avg_latency_s_sd,p50_latency_s_mean,p50_latency_s_sd,p90_latency_s_mean,p90_latency_s_sd,p99_latency_s_mean,p99_latency_s_sd,agent_utilization_mean,agent_utilization_sd,t_claim_ms_mean_mean,t_claim_ms_mean_sd,aoi_ms_mean_mean,aoi_ms_mean_sd,tasks_completed_mean,tasks_completed_sd,tasks_created_mean,tasks_created_sd
2,3,0.7836,0.1914,0.0154,0.0031,97.74,14.1972,86.6367,5.2405,137.75,52.5411,156.3267,76.8688,0.3715,0.1076,4.7133,1.1758,1.0333,0.2082,5.6667,1.1547,7.6667,3.0551
4,3,0.9722,0.0481,0.0297,0.0054,93.1267,16.9155,88.6,12.0143,129.39,38.3984,140.3,51.6118,0.348,0.0636,4.74,0.3643,1.1667,0.1528,11.0,2.0,11.3333,2.0817
8,3,0.9848,0.0263,0.0559,0.0095,84.6767,7.9409,84.3233,4.7629,102.85,12.5114,121.9733,23.6329,0.3238,0.0557,6.8267,0.3553,1.8667,0.2082,20.6667,3.5119,21.0,3.6056
16,3,0.2267,0.1781,0.0108,0.0098,71.1667,2.2541,70.4567,1.4643,79.2667,12.3103,81.6167,15.4225,0.0803,0.0179,6733.3,691.8587,2.9667,0.3215,4.0,3.6056,16.3333,2.5166
